!exclamation-point	ˌɛkskləˈmeɪʃənˌpɔɪnt
"close-quote	ˈkloʊzˈkwoʊt
"double-quote	ˈdʌbəlˈkwoʊt
abboud	əˈbuːd, əˈbaʊd
abbreviate	əˈbriːviːˌeɪt
abbreviated	əˈbriːviːˌeɪtɪd
abbreviates	əˈbriːviːˌeɪts
abbreviating	əˈbriːviːˌeɪtɪŋ
abbreviation	əˌbriːviːˈeɪʃən
abbreviations	əˌbriːviːˈeɪʃənz
abbruzzese	ɑːbruːtˈseɪzi
abbs	ˈæbz
abby	ˈæbi
abc	ˈeɪˌbiːˌsiː
abc's	ˈeɪˌbiːˌsiːz
abco	ˈæbkoʊ
abcotek	ˈæbkoʊˌtɛk
abcs	ˈeɪˌbiːˌsiːz
abdalla	ˌæbˈdælə
abdallah	ˌæbˈdælə
abdel	ˈæbˌdɛl
abdella	ˌæbˈdɛlə
abdicate	ˈæbdəˌkeɪt
abdicated	ˈæbdəˌkeɪtəd
abdicates	ˈæbdəˌkeɪts
abdicating	ˈæbdɪˌkeɪtɪŋ
abdication	ˌæbdɪˈkeɪʃən
abdnor	ˈæbdnɝ
abdo	ˈæbdoʊ
abdollah	ˌæbˈdɑːlə
abdomen	æbˈdoʊmən, ˈæbdəmən
abdominal	æbˈdɑːmənəl, əbˈdɑːmənəl
abduct	æbˈdʌkt
abducted	æbˈdʌktɪd, əbˈdʌktɪd
abductee	æbˌdəkˈtiː
abductees	æbˌdəkˈtiːz
abducting	æbˈdʌktɪŋ, əbˈdʌktɪŋ
abduction	æbˈdʌkʃən, əbˈdʌkʃən
abductions	æbˈdʌkʃənz, əbˈdʌkʃənz
abductor	æbˈdʌktɝ, əbˈdʌktɝ
abductors	æbˈdʌktɝz, əbˈdʌktɝz
abducts	æbˈdʌkts
abdul	æbˈduːl
abdulaziz	æbˌduːləˈziːz
abdulla	ɑːbˈduːlə
abdullah	ˌæbˈdʌlə
abe	ˈeɪb
abed	əˈbɛd
abedi	əˈbɛdi
abee	əˈbiː
abel	ˈeɪbəl
abela	ɑːˈbɛlə
abelard	ˈæbɪlɝd
abele	əˈbɛl
abeles	əˈbɛlz, ˈeɪbəˌliːz
abell	ˈeɪbəl
abella	əˈbɛlə
abeln	ˈæbɪln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbɪlsən
abend	ˈæbɛnd, əˈbɛnd
abendroth	ˈæbɪndrɔθ
aber	ˈeɪbɝ
abercrombie	ˌæbɝˈkrɑːmbi
aberdeen	ˈæbɝˌdiːn
aberford	ˈeɪbɝfɝd
aberg	ˈæbɝg
aberle	ˈæbɝəl, ˈæbɝl
abermin	ˈæbɝmɪn
abernathy	ˈæbɝˌnæθi
abernethy	ˈæbɝˌnɛθi
aberrant	æˈbɛrənt
aberration	ˌæbɝˈeɪʃən
aberrational	ˌæbɝˈeɪʃənəl
aberrations	ˌæbɝˈeɪʃənz
abert	ˈæbɝt
abet	əˈbɛt
abetted	əˈbɛtɪd
abetting	əˈbɛtɪŋ
abex	ˈeɪbɛks
abeyance	əˈbeɪəns
abeyta	ɑːˈbeɪtə
abhor	æbˈhɔr
abhorred	əbˈhɔrd
abhorrence	əbˈhɔrəns
abhorrent	æbˈhɔrənt
abhors	əbˈhɔrz
abiam	ˈeɪbiːəm
abiam's	ˈeɪbiːəmz
abid	ˈeɪbɪd
abide	əˈbaɪd
abided	əˈbaɪdɪd
abides	əˈbaɪdz
abiding	əˈbaɪdɪŋ
abidjan	æbɪˈdʒɑːn
abie	ˈæbi
abigail	ˈæbəˌgeɪl
abila	ɑːˈbiːlə
abilene	ˈæbɪˌliːn
abilities	əˈbɪləˌtiːz
ability	əˈbɪləˌtiː
abimael	ˌæbɪˈmeɪl
abimaels	ˌæbɪˈmeɪlz
abingdon	ˈæbɪŋdən
abington	ˈæbɪŋtən
abio	ˈɑːbiːoʊ
abiola	ˌɑːbiːˈoʊlə
abiola's	ˌɑːbiːˈoʊləz
abiomed	eɪˈbiːəmɛd
abiquiu	əˈbɪkjuː
abitibi	ˌæbɪˈtiːbi
abitz	ˈæbɪts
abject	ˈæbdʒɛkt
abkhazia	æbˈkɑːzjə, æbˈkæzjə
abkhazian	æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən
abkhazians	æbˈkɑːziːənz, æbˈkæziːənz
ablaze	əˈbleɪz
able	ˈeɪbəl
able-bodied	ˈeɪbəlˈbɑːdiːd
abled	ˈeɪbəld
abler	ˈeɪbəlɝ, ˈeɪblɝ
ables	ˈeɪbəlz
ablest	ˈeɪbəlst, ˈeɪbləst
abloom	əˈbluːm
ably	ˈeɪbli
abnegation	ˌæbnɛˈgeɪʃən
abner	ˈæbnɝ
abney	ˈæbni
abnormal	æbˈnɔrməl
abnormalities	ˌæbnɔrˈmælətiːz
abnormality	ˌæbnɔrˈmæləti
abnormally	æbˈnɔrməli
abo	ˈɑːboʊ
abo's	ˈɑːboʊz
aboard	əˈbɔrd
abode	əˈboʊd
abohalima	æbəhəˈliːmə
abolish	əˈbɑːlɪʃ
abolished	əˈbɑːlɪʃt
abolishes	əˈbɑːlɪʃɪz
abolishing	əˈbɑːlɪʃɪŋ
abolition	ˌæbəˈlɪʃən
abolitionism	ˌæbəˈlɪʃəˌnɪzəm
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs
abominable	əˈbɑːmənəbəl
abomination	əˌbɑːməˈneɪʃən
abominations	əˌbɑːməˈneɪʃənz
abood	əˈbuːd
aboodi	əˈbuːdi
abor	əˈbɔr
aboriginal	ˌæbɝˈɪdʒənəl
aborigine	ˌæbɝˈɪdʒəni
aborigines	ˌæbɝˈɪdʒəniːz
aborn	əˈbɔrn
abort	əˈbɔrt
aborted	əˈbɔrtɪd
abortifacient	əˌbɔrtəˈfeɪʃənt
abortifacients	əˌbɔrtəˈfeɪʃənts
aborting	əˈbɔrtɪŋ
abortion	əˈbɔrʃən
abortionist	əˈbɔrʃənɪst
abortionists	əˈbɔrʃənɪsts, əˈbɔrʃənɪs
abortions	əˈbɔrʃənz
abortive	əˈbɔrtɪv
aborts	əˈbɔrts
abott	əˈbɑːt
abou	əˈbuː
aboud	ɑːˈbuːd
abouhalima	ˌɑːbuːhɑːˈliːmə
abouhalima's	ˌɑːbuːhɑːˈliːməz
abound	əˈbaʊnd
abounded	əˈbaʊndɪd
abounding	əˈbaʊndɪŋ
abounds	əˈbaʊndz
about	əˈbaʊt
about's	əˈbaʊts
above	əˈbʌv
above's	əˈbʌvz
aboveboard	əˈbʌvˌbɔrd
abplanalp	ˈæbplənælp
abra	ˈɑːbrə
abracadabra	ˌæbrəkəˈdæbrə
abraham	ˈeɪbrəˌhæm
abrahamian	ˌæbrəˈheɪmiːən
abrahams	ˈeɪbrəˌhæmz
abrahamsen	æbrəˈhæmsən
abrahamson	əˈbræhəmsən
abram	əˈbræm
abram's	ˈeɪbrəmz
abramczyk	ˈɑːbrəmtʃɪk
abramo	ɑːˈbrɑːmoʊ
abramovitz	əˈbrɑːməvɪts
abramowicz	əˈbrɑːməvɪtʃ
abramowitz	əˈbrɑːməwɪts
abrams	ˈeɪbrəmz
abrams's	ˈeɪbrəmzɪz
abramson	ˈeɪbrəmsən
abrasion	əˈbreɪʒən
abrasions	əˈbreɪʒənz
abrasive	əˈbreɪsɪv
abrasives	əˈbreɪsɪvz
abraxa	əˈbræksə
abraxa's	əˈbræksəz
abraxas	əˈbræksəz
abreast	əˈbrɛst
abrego	ɑːˈbrɛgoʊ
abreu	əˈbruː
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
abridgement	əˈbrɪdʒmənt
abridges	əˈbrɪdʒəz
abridging	əˈbrɪdʒɪŋ
abril	əˈbrɪl
abroad	əˈbrɔd
abrogate	ˈæbrəˌgeɪt
abrogated	ˈæbrəˌgeɪtɪd
abrogating	ˈæbrəˌgeɪtɪŋ
abrogation	ˌæbrəˈgeɪʃən
abrol	əˈbroʊl
abron	əˈbrɑːn
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
abruptness	əˈbrʌptnəs
abrutyn	ˈeɪbruːtɪn
abruzzese	ɑːbruːtˈseɪzi
abruzzo	ɑːˈbruːzoʊ
abs	ˈeɪˈbiːˈɛs, ˈæbz
absalom	ˈæbsələm
absaraka	æbˈsɑːrəkə
abscam	ˈæbskæm
abscess	ˈæbˌsɛs
abscond	æbˈskɑːnd
absconded	æbˈskɑːndəd
absconding	æbˈskɑːndɪŋ
absconds	æbˈskɑːndz
absecon	ˈæbsəkɔn
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absentee	ˌæbsənˈtiː
absenteeism	ˌæbsənˈtiːɪzəm
absentees	ˌæbsənˈtiːz
absentia	æbˈsɛnʃə
absher	ˈæbʃɝ
abshier	ˈæbʃiːɝ
abshire	ˈæbˌʃaɪr
absinthe	ˈæbsɪnθ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəˈluːt
absolut's	ˌæbsəˈluːts
absolute	ˈæbsəˌluːt
absolutely	ˌæbsəˈluːtli
absoluteness	ˈæbsəˌluːtnəs
absolutes	ˈæbsəˌluːts
absolution	ˌæbsəˈluːʃən
absolutism	ˈæbsəˌluːˌtɪzəm
absolutist	æbsəˈluːtɪst
absolve	əbˈzɑːlv, æbˈzɑːlv
absolved	əbˈzɑːlvd, æbˈzɑːlvd
absolves	əbˈzɑːlvz, æbˈzɑːlvz
absolving	əbˈzɑːlvɪŋ, æbˈzɑːlvɪŋ
absorb	əbˈzɔrb
absorbed	əbˈzɔrbd
absorbency	əbˈzɔrbənsi
absorbent	əbˈzɔrbənt
absorber	əbˈzɔrbɝ
absorbers	əbˈzɔrbɝz
absorbing	əbˈzɔrbɪŋ
absorbs	əbˈzɔrbz
absorption	əbˈzɔrpʃən, əbˈsɔrpʃən
abstain	əbˈsteɪn, æbˈsteɪn
abstained	əbˈsteɪnd, æbˈsteɪnd
abstaining	əbˈsteɪnɪŋ, æbˈsteɪnɪŋ
abstention	əbˈstɛntʃən, æbˈstɛntʃən
abstentions	əbˈstɛntʃənz, æbˈstɛntʃənz
abstinence	ˈæbstənəns
abstinent	ˈæbstənənt
abston	ˈæbstən
abstract	æbˈstrækt, ˈæbˌstrækt
abstracted	ˈæbˌstræktɪd
abstraction	æbˈstrækʃən
abstractions	æbˈstrækʃənz
abstracts	ˈæbstrækts
abstruse	əbˈstruːs
absurd	əbˈsɝːd
absurdist	əbˈsɝːdɪst
absurdities	əbˈsɝːdətiːz
absurdity	əbˈsɝːdəti
absurdly	əbˈsɝːdli
abt	ˈæbt, ˈeɪˈbiːˈtiː
abts	ˈæbts, ˈeɪˈbiːˈtiːz, ˈeɪˈbiːˈtiːˈɛs
abu	ˈæbuː
abudrahm	əˈbʌdrəm
abuellah	əbˈwɛlə
abuellah's	əbˈwɛləz
abuladze	ˌæbjuːˈlædzi
abundance	əˈbʌndəns
abundant	əˈbʌndənt
abundantly	əˈbʌndəntli
aburto	əˈbʊrˌtoʊ
aburto's	əˈbʊrˌtoʊz
abuse	əˈbjuːs, əˈbjuːz
abused	əˈbjuːzd
abuser	əˈbjuːzɝ
abusers	əˈbjuːzɝz
abuses	əˈbjuːsɪz, əˈbjuːzɪz
abusing	əˈbjuːzɪŋ
abusive	əˈbjuːsɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌtəd
abutting	əˈbʌtɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪzməl
abysmally	əˈbɪzməli
abyss	əˈbɪs
abyssinia	æbˈsɪˌniːə
abyssinian	æbˈsɪˌniːən
abzug	ˈæbˌzəg, ˈæbˌzʊg
ac	ˈeɪˈsiː
aca	ˈækə
acacia	əˈkeɪʃə
academe	ˈækəˌdiːm
academia	ˌækəˈdiːmiːə
academic	ˌækəˈdɛmɪk
academically	ˌækəˈdɛmɪkli
academician	ˌækədəˈmɪʃən
academicians	ˌækədəˈmɪʃənz, əˌkædəˈmɪʃənz
academics	ˌækəˈdɛmɪks
academies	əˈkædəmiːz
academy	əˈkædəmi
academy's	əˈkædəmiːz
acadia	əˈkeɪdiːə
acampo	əˈkɑːmpoʊ
acampora	əˈkæmpɝə
acampsia	əˈkæmpsjə
acantha	ɑːˈkɑːnðə
acapulco	ˌækəˈpʊlkoʊ
acary	ˈækɝi
accardi	ɑːˈkɑːrdi
accardo	ɑːˈkɑːrdoʊ
accede	ækˈsiːd
acceded	ækˈsiːdɪd
accedes	ækˈsiːdz
acceding	ækˈsiːdɪŋ
accel	əkˈsɛl
accelerant	ækˈsɛlɝənt
accelerants	ækˈsɛlɝənts
accelerate	ækˈsɛlɝˌeɪt
accelerated	ækˈsɛlɝˌeɪtɪd
accelerates	ækˈsɛlɝˌeɪts
accelerating	ækˈsɛlɝˌeɪtɪŋ
acceleration	ˌækˌsɛlɝˈeɪʃən
accelerator	ækˈsɛlɝˌeɪtɝ
accelerators	ækˈsɛlɝˌeɪtɝz
accelerometer	ækˌsɛlɝˈɑːmətɝ
accelerometers	ækˌsɛlɝˈɑːmətɝz
accent	əkˈsɛnt, ˈækˌsɛnt
accented	ˈæksɛntɪd
accenting	ˈæksɛntɪŋ
accents	ˈæksɛnts
accentuate	ækˈsɛntʃuːeɪt
accentuated	ækˈsɛntʃuːˌeɪtɪd
accentuates	ækˈsɛntʃuːˌeɪts
accentuating	ækˈsɛntʃuːˌeɪtɪŋ
accept	ækˈsɛpt, əkˈsɛpt
acceptability	əkˌsɛptəˈbɪləti
acceptable	ækˈsɛptəbəl, əkˈsɛptəbəl
acceptably	ækˈsɛptəbli, əkˈsɛptəbli
acceptance	ækˈsɛptəns, əkˈsɛptəns
acceptances	ækˈsɛptənsɪz
accepted	ækˈsɛptɪd
accepting	ækˈsɛptɪŋ, əkˈsɛptɪŋ
accepts	ækˈsɛpts
access	ˈækˌsɛs
accessed	ˈækˌsɛst
accessibility	ˌæksɛsəˈbɪlɪti
accessible	ækˈsɛsəbəl
accessing	ˈækˌsɛsɪŋ
accession	əkˈsɛʃən
accessories	ækˈsɛsɝiːz
accessorize	ækˈsɛsɝˌaɪz
accessorized	ækˈsɛsɝˌaɪzd
accessory	ækˈsɛsɝi
accetta	ɑːˈtʃɛtə
accident	ˈæksədənt
accident's	ˈæksədənts
accidental	ˌæksəˈdɛntəl, ˌæksəˈdɛnəl
accidentally	ˌæksəˈdɛntəli, ˌæksəˈdɛnəli
accidently	ˈæksədəntli
accidents	ˈæksədənts
accion	ˈætʃiːən
accival	ˈæsɪˌvɑːl
acclaim	əˈkleɪm
acclaim's	əˈkleɪmz
acclaimed	əˈkleɪmd
acclaiming	əˈkleɪmɪŋ
acclaims	əˈkleɪmz
acclamation	ˌækləˈmeɪʃən
acclimate	ˈækləˌmeɪt
acclimated	ˈækləˌmeɪtɪd
acclimation	ˌækləˈmeɪʃən
acco	ˈækoʊ
accokeek	ˈækoʊkiːk
accola	ɑːˈkoʊlə
accolade	ˈækəˌleɪd
accolades	ˈækəˌleɪdz
accomando	ɑːkoʊˈmɑːndoʊ
accommodate	əˈkɑːməˌdeɪt
accommodated	əˈkɑːməˌdeɪtəd
accommodates	əˈkɑːməˌdeɪts
accommodating	əˈkɑːməˌdeɪtɪŋ
accommodation	əˌkɑːməˈdeɪʃən
accommodations	əˌkɑːməˈdeɪʃənz
accommodative	əˈkɑːməˌdeɪtɪv
accompanied	əˈkʌmpəniːd
accompanies	əˈkʌmpəniːz
accompaniment	əˈkʌmpnɪmənt, əˈkʌmpniːmənt
accompaniments	əˈkʌmpnɪmənts, əˈkʌmpniːmənts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəni
accompanying	əˈkʌmpəniːɪŋ
accompli	ˌɑːˈkɑːmpli, əˈkɑːmpli
accomplice	əˈkɑːmpləs
accomplices	əˈkɑːmpləsəz
accomplish	əˈkɑːmplɪʃ
accomplished	əˈkɑːmplɪʃt
accomplishes	əˈkɑːmplɪʃɪz
accomplishing	əˈkɑːmplɪʃɪŋ
accomplishment	əˈkɑːmplɪʃmənt
accomplishments	əˈkɑːmplɪʃmənts
accor	ˈæˌkɔr
accor's	ˈækɝz
accord	əˈkɔrd
accord's	əˈkɔrdz
accordance	əˈkɔrdəns
accorded	əˈkɔrdɪd
according	əˈkɔrdɪŋ
accordingly	əˈkɔrdɪŋli
accordion	əˈkɔrdiːən
accordions	əˈkɔrdiːənz
accords	əˈkɔrdz
accost	əˈkɔst
accosted	əˈkɑːstəd
accosting	əˈkɑːstɪŋ
account	əˈkaʊnt
account's	əˈkaʊnts
accountability	əˈkaʊntəˌbɪlɪti
accountable	əˈkaʊntəbəl
accountancy	əˈkaʊntəntˌsiː
accountant	əˈkaʊntənt
accountant's	əˈkaʊntənts
accountants	əˈkaʊntənts
accountants'	əˈkaʊntənts
accounted	əˈkaʊntɪd
accountemp	əˈkaʊnˌtɛmp
accountemps	əˈkaʊnˌtɛmps
accounting	əˈkaʊntɪŋ, əˈkaʊnɪŋ
accounts	əˈkaʊnts
accouterment	əˈkuːtɝmənt
accouterments	əˈkuːtɝmənts
accoutrement	əˈkuːtɝmənt
accoutrements	əˈkuːtɝmənts
accra	ˈɑːˌkrɑː
accredit	əˈkrɛˌdɪt
accreditation	əˌkrɛdəˈteɪʃən
accreditations	əˌkrɛdəˈteɪʃənz
accredited	əˈkrɛdɪtɪd
accrediting	əˈkrɛdətɪŋ
accreted	əˈkriːtɪd
accretion	əˈkriːʃən
accrual	əˈkruːəl
accruals	əˈkruːəlz
accrue	əˈkruː
accrued	əˈkruːd
accrues	əˈkruːz
accruing	əˈkruːɪŋ
accu	ˈækjuː
accuhealth	ˈækjuːˌhɛlθ
accumulate	əˈkjuːmjəˌleɪt
accumulated	əˈkjuːmjəˌleɪtɪd
accumulates	əˈkjuːmjəˌleɪts
accumulating	əˈkjuːmjəˌleɪtɪŋ
accumulation	əˌkjuːmjəˈleɪʃən
accumulations	əˌkjuːmjəˈleɪʃənz
accumulative	əˈkjuːmjəˌleɪtɪv
accumulatively	əˈkjuːmjəˌleɪtɪvli, əˈkjuːmjələˌtɪvli
accumulator	əˈkjuːmjəˌleɪtɝ
accumulators	əˈkjuːmjəˌleɪtɝz
accuracies	ˈækjɝəsiːz
accuracy	ˈækjɝəsi
accurate	ˈækjɝət
accurately	ˈækjɝətli
accuray	ˈækjɝˌeɪ
accuray's	ˈækjɝˌeɪz
accuride	ˈækjɝˌaɪd
accurso	ɑːˈkʊrsoʊ
accusation	ˌækjəˈzeɪʃən, ˌækjuːˈzeɪʃən
accusations	ˌækjəˈzeɪʃənz, ˌækjuːˈzeɪʃənz
accusative	əˈkjuːzətɪv
accusatory	əˈkjuːzəˌtɔri
accuse	əˈkjuːz
accused	əˈkjuːzd
accuser	əˈkjuːzɝ
accusers	əˈkjuːzɝz
accuses	əˈkjuːzɪz
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋli
accustom	əˈkʌstəm
accustomed	əˈkʌstəmd
accutane	ˈækjuːˌteɪn
ace	ˈeɪs
acecomm	ˈeɪskɑːm
aced	ˈeɪst
acer	ˈeɪsɝ
acerbic	əˈsɛrbɪk
acero	əˈsɛroʊ, əsˈjɛroʊ, əˈθɛroʊ
acerra	əˈsɛrə
aces	ˈeɪsɪz
acetaminophen	əˌsiːtəˈmɪnəfən
acetate	ˈæsəˌteɪt
acetic	əˈsɛtɪk, əˈsiːtɪk
aceto	ɑːˈsɛtoʊ
acetochlor	ɑːˈsɛtoʊˌklɔr
acetone	ˈæsəˌtoʊn
acetosyringone	əˌsɛtoʊˈsɪrɪŋgɔn
acetylcholine	əˌsɛtəlˈkoʊliːn, əˌsiːtəlˈkoʊliːn
acetylene	əˈsɛtəˌliːn
acevedo	æsəˈveɪdoʊ
aceves	ɑːˈseɪvɛs
acey	ˈeɪsi
achaean	əˈtʃiːən
achatz	ˈækəts
ache	ˈeɪk
achebe	ɑːˈtʃeɪbi
ached	ˈeɪkt
achee	əˈtʃiː
achenbach	ˈækɪnbɑːk
achenbaum	ˈækənˌbaʊm
aches	ˈeɪks
acheson	ˈætʃəsən
acheson's	ˈætʃəsənz
achesons	ˈætʃəsənz
achey	ˈætʃi
achieva	əˈtʃiːvə
achievable	əˈtʃiːvəbəl
achieve	əˈtʃiːv
achieved	əˈtʃiːvd
achievement	əˈtʃiːvmənt
achievements	əˈtʃiːvmənts
achiever	əˈtʃiːvɝ
achievers	əˈtʃiːvɝz
achieves	əˈtʃiːvz
achieving	əˈtʃiːvɪŋ
achille	əˈkɪli
achilles	əˈkɪliːz
achilles'	əˈkɪliːz
aching	ˈeɪkɪŋ
achingly	ˈeɪkɪŋli
achmed	ˈɑːhmɛd
achoa	əˈtʃoʊə
achoa's	əˈtʃoʊəz
achoo	ˌɑːˈtʃuː
achor	ˈeɪkɝ
achord	ˈækɔrd
achorn	ˈækɝn
achtenberg	ˈæktɛnbɝg
achterberg	ˈæktɝbɝg
achy	ˈeɪki
acid	ˈæsəd
acidic	əˈsɪdɪk
acidification	əˌsɪdəfəˈkeɪʃən
acidified	əˈsɪdəˌfaɪd
acidifies	əˈsɪdəˌfaɪz
acidify	əˈsɪdəˌfaɪ
acidity	əˈsɪdəti
acidly	ˈæsədli
acidosis	ˌæsəˈdoʊsəs
acids	ˈæsədz
aciduria	ˌæsəˈdʊriːə
acierno	ɑːˈsɪrnoʊ
ack	ˈæk
acker	ˈækɝ
acker's	ˈækɝz
ackerley	ˈækɝli
ackerly	ˈækɝli
ackerman	ˈækɝmən
ackermann	ˈækɝmən
ackermanville	ˈækɝmənvɪl
ackerson	ˈækɝsən
ackert	ˈækɝt
ackhouse	ˈækˌhaʊs
ackland	ˈæklənd
ackles	ˈækəlz
ackley	ˈækli
acklin	ˈæklɪn
ackman	ˈækmən
acknowledge	ækˈnɑːlɪdʒ
acknowledgeable	ækˈnɑːlɪdʒəbəl
acknowledged	ækˈnɑːlɪdʒd
acknowledgement	ækˈnɑːlɪdʒmənt
acknowledgements	ækˈnɑːlɪdʒmənts
acknowledges	ækˈnɑːlɪdʒɪz
acknowledging	ækˈnɑːlɪdʒɪŋ
acknowledgment	ækˈnɑːlɪdʒmənt
ackroyd	ˈæˌkrɔɪd
ackroyd's	ˈæˌkrɔɪdz
acmat	ˈækmæt
acmat's	ˈækmæts
acme	ˈækmi
acme's	ˈækmiːz
acne	ˈækni
acocella	ɑːkoʊˈtʃɛlə
acoff	ˈækɔf
acog	əˈkɔg
acolyte	ˈækəˌlaɪt
acolytes	ˈækəˌlaɪts
acord	əˈkɔrd
